Entry,Entry name,Status,Protein names,Cross-reference (DrugBank),Annotation
F7CFT5,F7CFT5_MONDO,unreviewed,Breast cancer type 1 susceptibility protein homolog (EC 2.3.2.27),,4 out of 5
A0A3G7IQP9,A0A3G7IQP9_9EUTH,unreviewed,Breast cancer type 2 susceptibility protein (Fragment),,1 out of 5
A0A6P6BX60,A0A6P6BX60_PTEVA,unreviewed,Breast cancer type 1 susceptibility protein homolog (EC 2.3.2.27),,3 out of 5
B5SRD6,B5SRD6_9EUTH,unreviewed,Breast cancer susceptibility 1 (Fragment),,1 out of 5
B5SRM1,B5SRM1_9EUTH,unreviewed,Breast cancer susceptibility 1 (Fragment),,1 out of 5
A0A6I9IYL6,A0A6I9IYL6_CHRAS,unreviewed,Breast cancer type 1 susceptibility protein homolog (EC 2.3.2.27),,3 out of 5
A0A4D6V3C8,A0A4D6V3C8_9META,unreviewed,Breast cancer type 1 susceptibility protein (Fragment),,1 out of 5
A0A649ZV52,A0A649ZV52_9EUTH,unreviewed,Breast cancer type 1 susceptibility protein (Fragment),,1 out of 5
A0A6P5DBH7,A0A6P5DBH7_BOSIN,unreviewed,breast cancer anti-estrogen resistance protein 1,,1 out of 5
B5SRD5,B5SRD5_9EUTH,unreviewed,Breast cancer susceptibility 1 (Fragment),,1 out of 5
A0A075WA83,A0A075WA83_9META,unreviewed,Breast cancer susceptibility protein (Fragment),,1 out of 5
U6CTI9,U6CTI9_NEOVI,unreviewed,Breast cancer metastasis-suppressor 1-like protein,,1 out of 5
A0A0K0MVJ1,A0A0K0MVJ1_9EUTH,unreviewed,Breast cancer protein 1 (Fragment),,1 out of 5
A0A0S1RVL5,A0A0S1RVL5_9EUTH,unreviewed,Breast cancer 1 (Fragment),,1 out of 5
I3XJ06,I3XJ06_9EUTH,unreviewed,Breast cancer susceptibility 1 (Fragment),,1 out of 5
A0A6I9JHU8,A0A6I9JHU8_CHRAS,unreviewed,breast cancer metastasis-suppressor 1,,1 out of 5
C1IZP4,C1IZP4_PHIOP,unreviewed,Breast cancer susceptibility protein (Fragment),,1 out of 5
A0A341B7G8,A0A341B7G8_NEOAA,unreviewed,Breast cancer type 1 susceptibility protein homolog (EC 2.3.2.27),,3 out of 5
A0A088MJB3,A0A088MJB3_9EUTH,unreviewed,Breast cancer protein 1 (Fragment),,1 out of 5
A0A1J0N2A1,A0A1J0N2A1_NEUGI,unreviewed,Breast cancer 1 (Fragment),,1 out of 5
A0A1W5YSM0,A0A1W5YSM0_9EUTH,unreviewed,Breast cancer type 1 susceptibility protein (Fragment),,1 out of 5
A0A088MJB9,A0A088MJB9_9EUTH,unreviewed,Breast cancer protein 1 (Fragment),,1 out of 5
A0A341B7L7,A0A341B7L7_NEOAA,unreviewed,Breast cancer type 1 susceptibility protein homolog (EC 2.3.2.27),,3 out of 5
A0A088MJ98,A0A088MJ98_9EUTH,unreviewed,Breast cancer protein 1 (Fragment),,1 out of 5
A0A3Q7NXK4,A0A3Q7NXK4_CALUR,unreviewed,breast cancer metastasis-suppressor 1-like protein,,1 out of 5
A0A0F6NTT7,A0A0F6NTT7_9EUTH,unreviewed,Breast cancer susceptibility 1 (Fragment),,1 out of 5
A0A0F6P256,A0A0F6P256_9EUTH,unreviewed,Breast cancer susceptibility 1 (Fragment),,1 out of 5
A0A2U4A2Z6,A0A2U4A2Z6_TURTR,unreviewed,breast cancer anti-estrogen resistance protein 3 isoform X3,,1 out of 5
A0A6P6BX86,A0A6P6BX86_PTEVA,unreviewed,Breast cancer type 1 susceptibility protein homolog (EC 2.3.2.27),,3 out of 5
A0A1B4Z9Q2,A0A1B4Z9Q2_ANOYA,unreviewed,"Breast cancer 1, early onset (Fragment)",,1 out of 5
A0A6P3RAR1,A0A6P3RAR1_PTEVA,unreviewed,breast cancer anti-estrogen resistance protein 1 isoform X5,,1 out of 5
A0A1J0N436,A0A1J0N436_MOGIN,unreviewed,Breast cancer 2 (Fragment),,1 out of 5
U6DCD1,U6DCD1_NEOVI,unreviewed,Breast cancer type 2 susceptibility protein (Fragment),,1 out of 5
K4PUX7,K4PUX7_9EUTH,unreviewed,Breast cancer susceptibility 1 (Fragment),,1 out of 5
K4PM33,K4PM33_9EUTH,unreviewed,Breast cancer susceptibility 1 (Fragment),,1 out of 5
B5SRE1,B5SRE1_9EUTH,unreviewed,Breast cancer susceptibility 1 (Fragment),,1 out of 5
A0A482FDT0,A0A482FDT0_9EUTH,unreviewed,Breast cancer susceptibility 1 (Fragment),,1 out of 5
B5SRL1,B5SRL1_9EUTH,unreviewed,Breast cancer susceptibility 1 (Fragment),,1 out of 5
A0A1J0N291,A0A1J0N291_GALPY,unreviewed,Breast cancer 1 (Fragment),,1 out of 5
A0A3Q7PAP0,A0A3Q7PAP0_CALUR,unreviewed,breast cancer type 2 susceptibility protein,,1 out of 5
A0A0F6P228,A0A0F6P228_9EUTH,unreviewed,Breast cancer susceptibility 1 (Fragment),,1 out of 5
B5SRG7,B5SRG7_CRONG,unreviewed,Breast cancer susceptibility 1 (Fragment),,1 out of 5
A0A088MGD5,A0A088MGD5_HEMAU,unreviewed,Breast cancer protein 1 (Fragment),,1 out of 5
A0A1B4Z9K6,A0A1B4Z9K6_9EUTH,unreviewed,"Breast cancer 1, early onset (Fragment)",,1 out of 5
A0A3G7IQR8,A0A3G7IQR8_SORUN,unreviewed,Breast cancer type 2 susceptibility protein (Fragment),,1 out of 5
V6BQ39,V6BQ39_9EUTH,unreviewed,Breast Cancer 1 (Fragment),,1 out of 5
B5SRI6,B5SRI6_9EUTH,unreviewed,Breast cancer susceptibility 1 (Fragment),,1 out of 5
B5SRJ0,B5SRJ0_9EUTH,unreviewed,Breast cancer susceptibility 1 (Fragment),,1 out of 5
A0A6P6CW12,A0A6P6CW12_PTEVA,unreviewed,breast cancer metastasis-suppressor 1 isoform X10,,1 out of 5
A0A6C0WXJ7,A0A6C0WXJ7_9EUTH,unreviewed,Breast cancer susceptibility 1 (Fragment),,1 out of 5
A0A3Q7P2V1,A0A3Q7P2V1_CALUR,unreviewed,breast cancer anti-estrogen resistance protein 3 isoform X3,,1 out of 5
A0A6C0WXT3,A0A6C0WXT3_CROWU,unreviewed,Breast cancer susceptibility 1 (Fragment),,1 out of 5
A0A0F6P229,A0A0F6P229_9EUTH,unreviewed,Breast cancer susceptibility 1 (Fragment),,1 out of 5
A0A141NXG4,A0A141NXG4_9META,unreviewed,Breast cancer activating 1 protein (Fragment),,1 out of 5
A0A0C5PX80,A0A0C5PX80_MYOMY,unreviewed,Breast cancer 1 (Fragment),,1 out of 5
A0A6I9J1Z1,A0A6I9J1Z1_CHRAS,unreviewed,Breast cancer type 1 susceptibility protein homolog (EC 2.3.2.27),,3 out of 5
I3XIZ1,I3XIZ1_SORLO,unreviewed,Breast cancer susceptibility 1 (Fragment),,1 out of 5
I3XIY2,I3XIY2_SORLO,unreviewed,Breast cancer susceptibility 1 (Fragment),,1 out of 5
A0A3G7IQI6,A0A3G7IQI6_9EUTH,unreviewed,Breast cancer type 1 susceptibility protein (Fragment),,1 out of 5
A0A075VNR1,A0A075VNR1_HYLAG,unreviewed,Breast cancer type 1 susceptibility protein homolog (EC 2.3.2.27),,3 out of 5
A0A1B4Z9L5,A0A1B4Z9L5_CRODS,unreviewed,"Breast cancer 1, early onset (Fragment)",,1 out of 5
A0A075VSW0,A0A075VSW0_9PRIM,unreviewed,Breast cancer 2 early onset (Fragment),,1 out of 5
W8RVX0,W8RVX0_9EUTH,unreviewed,Breast cancer susceptibility 1 protein (Fragment),,1 out of 5
A0A6J2EKI1,A0A6J2EKI1_ZALCA,unreviewed,breast cancer anti-estrogen resistance protein 3 isoform X2,,1 out of 5
U5TX37,U5TX37_CROWU,unreviewed,Breast cancer susceptibility 1 (Fragment),,1 out of 5
A0A1B3LGR0,A0A1B3LGR0_9EUTH,unreviewed,Breast cancer susceptibility 1 (Fragment),,1 out of 5
B5SRK1,B5SRK1_SUNMU,unreviewed,Breast cancer susceptibility 1 (Fragment),,1 out of 5
B5SRH1,B5SRH1_CROLV,unreviewed,Breast cancer susceptibility 1 (Fragment),,1 out of 5
A0A3G7IQI2,A0A3G7IQI2_SORMN,unreviewed,Breast cancer type 1 susceptibility protein (Fragment),,1 out of 5
C1IZM5,C1IZM5_MARMU,unreviewed,Breast cancer susceptibility protein (Fragment),,1 out of 5
D8LAG7,D8LAG7_9CHIR,unreviewed,Breast cancer susceptibility protein 1 (Fragment),,2 out of 5
A0A0S1RU20,A0A0S1RU20_9EUTH,unreviewed,Breast cancer 1 (Fragment),,1 out of 5
A0A649ZV85,A0A649ZV85_9EUTH,unreviewed,Breast cancer type 1 susceptibility protein (Fragment),,1 out of 5
A0A1J0N2B4,A0A1J0N2B4_9EUTH,unreviewed,Breast cancer 1 (Fragment),,1 out of 5
A0A088MJA8,A0A088MJA8_9EUTH,unreviewed,Breast cancer protein 1 (Fragment),,1 out of 5
A0A291L616,A0A291L616_CRONG,unreviewed,Breast cancer susceptibility protein (Fragment),,1 out of 5
A0A141NXF5,A0A141NXF5_9META,unreviewed,Breast cancer activating 1 protein (Fragment),,1 out of 5
A0A3G7IQS5,A0A3G7IQS5_SORMN,unreviewed,Breast cancer type 2 susceptibility protein (Fragment),,1 out of 5
E3U391,E3U391_SORMN,unreviewed,Breast cancer susceptibility 1 (Fragment),,1 out of 5
A0A5F4BTF2,A0A5F4BTF2_CANLF,unreviewed,Breast cancer type 1 susceptibility protein homolog,,1 out of 5
A0A0C5QA23,A0A0C5QA23_MACCM,unreviewed,Breast cancer 1 (Fragment),,1 out of 5
D8LAG5,D8LAG5_MONRE,unreviewed,Breast cancer susceptibility protein 1 (Fragment),,1 out of 5
A0A6P5DEF9,A0A6P5DEF9_BOSIN,unreviewed,Breast cancer type 1 susceptibility protein homolog (EC 2.3.2.27),,3 out of 5
A0A6I9KR81,A0A6I9KR81_CHRAS,unreviewed,LOW QUALITY PROTEIN: breast cancer type 2 susceptibility protein,,1 out of 5
A0A287AR43,A0A287AR43_PIG,unreviewed,Breast cancer type 1 susceptibility protein homolog (EC 2.3.2.27),,3 out of 5
A0A1J0N2L9,A0A1J0N2L9_9EUTH,unreviewed,Breast cancer 1 (Fragment),,1 out of 5
A0A0F6NTR6,A0A0F6NTR6_9EUTH,unreviewed,Breast cancer susceptibility 1 (Fragment),,1 out of 5
Q20CP7,Q20CP7_CYNVO,unreviewed,Breast and ovarian cancer susceptibility 1 (Fragment),,1 out of 5
U5TWZ8,U5TWZ8_9EUTH,unreviewed,Breast cancer susceptibility 1 (Fragment),,1 out of 5
A0A3G7IQW4,A0A3G7IQW4_9EUTH,unreviewed,Breast cancer type 1 susceptibility protein (Fragment),,1 out of 5
I3XIY3,I3XIY3_SORLO,unreviewed,Breast cancer susceptibility 1 (Fragment),,1 out of 5
I3XIY6,I3XIY6_SORLO,unreviewed,Breast cancer susceptibility 1 (Fragment),,1 out of 5
K4PPD5,K4PPD5_9EUTH,unreviewed,Breast cancer susceptibility 1 (Fragment),,1 out of 5
A0A0C5PNU8,A0A0C5PNU8_HIPAR,unreviewed,Breast cancer 1 (Fragment),,1 out of 5
A0A1J0N2B5,A0A1J0N2B5_9EUTH,unreviewed,Breast cancer 1 (Fragment),,1 out of 5
A0A6I9J7C5,A0A6I9J7C5_CHRAS,unreviewed,breast cancer metastasis-suppressor 1-like protein,,1 out of 5
B5SRC0,B5SRC0_9EUTH,unreviewed,Breast cancer susceptibility 1 (Fragment),,1 out of 5
B5SRF2,B5SRF2_9EUTH,unreviewed,Breast cancer susceptibility 1 (Fragment),,1 out of 5
A0A4D6V0G8,A0A4D6V0G8_9META,unreviewed,Breast cancer type 1 susceptibility protein (Fragment),,1 out of 5
B5SRB9,B5SRB9_9EUTH,unreviewed,Breast cancer susceptibility 1 (Fragment),,1 out of 5
A0A1J0N3X8,A0A1J0N3X8_9EUTH,unreviewed,Breast cancer 2 (Fragment),,1 out of 5
A0A1J0N4A1,A0A1J0N4A1_9EUTH,unreviewed,Breast cancer 2 (Fragment),,1 out of 5
A0A1J0N463,A0A1J0N463_9EUTH,unreviewed,Breast cancer 2 (Fragment),,1 out of 5
A0A7L7TRC7,A0A7L7TRC7_NOTMA,unreviewed,Breast cancer type 1 susceptibility protein (Fragment),,1 out of 5
A0A1J0N2C2,A0A1J0N2C2_UROTA,unreviewed,Breast cancer 1 (Fragment),,1 out of 5
A0A075W2A5,A0A075W2A5_9META,unreviewed,Breast cancer susceptibility protein (Fragment),,1 out of 5
A0A075VNU9,A0A075VNU9_SYMSY,unreviewed,Breast cancer 2 early onset (Fragment),,1 out of 5
A0A6J2FK99,A0A6J2FK99_ZALCA,unreviewed,Breast cancer type 1 susceptibility protein homolog (EC 2.3.2.27),,3 out of 5
A0A6P9FEX7,A0A6P9FEX7_ZALCA,unreviewed,breast cancer metastasis-suppressor 1-like protein isoform X2,,1 out of 5
A0A6P9FKS1,A0A6P9FKS1_ZALCA,unreviewed,breast cancer metastasis-suppressor 1-like protein isoform X4,,1 out of 5
B5SRE7,B5SRE7_9EUTH,unreviewed,Breast cancer susceptibility 1 (Fragment),,1 out of 5
A0A0K0MVK3,A0A0K0MVK3_9EUTH,unreviewed,Breast cancer protein 1 (Fragment),,1 out of 5
D8LAF4,D8LAF4_BRANN,unreviewed,Breast cancer susceptibility protein 1 (Fragment),,1 out of 5
A0A673V8A4,A0A673V8A4_SURSU,unreviewed,Breast cancer type 1 susceptibility protein homolog (EC 2.3.2.27),,3 out of 5
K4PM05,K4PM05_9EUTH,unreviewed,Breast cancer susceptibility 1 (Fragment),,1 out of 5
A0A1J0N458,A0A1J0N458_PARBE,unreviewed,Breast cancer 2 (Fragment),,1 out of 5
A0A6P6BSN6,A0A6P6BSN6_PTEVA,unreviewed,breast cancer metastasis-suppressor 1-like protein isoform X2,,1 out of 5
K4PLT8,K4PLT8_9EUTH,unreviewed,Breast cancer susceptibility 1 (Fragment),,1 out of 5
A0A2Y9QHQ0,A0A2Y9QHQ0_TRIMA,unreviewed,Breast cancer type 1 susceptibility protein homolog (EC 2.3.2.27),,3 out of 5
A0A075WA79,A0A075WA79_9META,unreviewed,Breast cancer susceptibility protein (Fragment),,1 out of 5
A0A0C5Q1C3,A0A0C5Q1C3_9CHIR,unreviewed,Breast cancer 1 (Fragment),,1 out of 5
A0A0K0MUH9,A0A0K0MUH9_9EUTH,unreviewed,Breast cancer protein 1 (Fragment),,1 out of 5
K4PM18,K4PM18_9EUTH,unreviewed,Breast cancer susceptibility 1 (Fragment),,1 out of 5
A0A2Y9RPV8,A0A2Y9RPV8_TRIMA,unreviewed,breast cancer metastasis-suppressor 1 isoform X1,,1 out of 5
A0A1J0N476,A0A1J0N476_UROTA,unreviewed,Breast cancer 2 (Fragment),,1 out of 5
B5SRK7,B5SRK7_9EUTH,unreviewed,Breast cancer susceptibility 1 (Fragment),,1 out of 5
U5TX43,U5TX43_9EUTH,unreviewed,Breast cancer susceptibility 1 (Fragment),,1 out of 5
A0A6C0WXX6,A0A6C0WXX6_9EUTH,unreviewed,Breast cancer susceptibility 1 (Fragment),,1 out of 5
K4PPG0,K4PPG0_9EUTH,unreviewed,Breast cancer susceptibility 1 (Fragment),,1 out of 5
A0A6J2F008,A0A6J2F008_ZALCA,unreviewed,breast cancer anti-estrogen resistance protein 1 isoform X2,,1 out of 5
A0A1J0N4I0,A0A1J0N4I0_SORUN,unreviewed,Breast cancer 2 (Fragment),,1 out of 5
A0A3G7IQW3,A0A3G7IQW3_9EUTH,unreviewed,Breast cancer type 2 susceptibility protein (Fragment),,1 out of 5
A0A3G7IQM2,A0A3G7IQM2_9EUTH,unreviewed,Breast cancer type 1 susceptibility protein (Fragment),,1 out of 5
A0A6P6BUX0,A0A6P6BUX0_PTEVA,unreviewed,breast cancer anti-estrogen resistance protein 1 isoform X1,,1 out of 5
A0A6P6CVY1,A0A6P6CVY1_PTEVA,unreviewed,breast cancer metastasis-suppressor 1 isoform X4,,1 out of 5
D8LAE7,D8LAE7_CENSE,unreviewed,Breast cancer susceptibility protein 1 (Fragment),,1 out of 5
B5SRJ7,B5SRJ7_9EUTH,unreviewed,Breast cancer susceptibility 1 (Fragment),,1 out of 5
Q20CQ4,Q20CQ4_HYPMS,unreviewed,Breast and ovarian cancer susceptibility 1 (Fragment),,1 out of 5
A0A3Q7PLW3,A0A3Q7PLW3_CALUR,unreviewed,breast cancer metastasis-suppressor 1 isoform X1,,1 out of 5
A0A0F6NU46,A0A0F6NU46_9EUTH,unreviewed,Breast cancer susceptibility 1 (Fragment),,1 out of 5
A0A067XLC5,A0A067XLC5_9EUTH,unreviewed,Breast cancer susceptibility 1 (Fragment),,1 out of 5
U5TWZ4,U5TWZ4_9EUTH,unreviewed,Breast cancer susceptibility 1 (Fragment),,1 out of 5
K4PPK9,K4PPK9_9EUTH,unreviewed,Breast cancer susceptibility 1 (Fragment),,1 out of 5
A0A6J2CQL3,A0A6J2CQL3_ZALCA,unreviewed,breast cancer type 2 susceptibility protein isoform X1,,1 out of 5
K4PP53,K4PP53_9EUTH,unreviewed,Breast cancer susceptibility 1 (Fragment),,1 out of 5
U6CWM4,U6CWM4_NEOVI,unreviewed,Breast cancer anti-estrogen resistance 1 (Fragment),,1 out of 5
D9DA22,D9DA22_CHOPC,unreviewed,Breast cancer 1 protein (Fragment),,1 out of 5
A0A1B3LGN7,A0A1B3LGN7_9EUTH,unreviewed,Breast cancer susceptibility 1 (Fragment),,1 out of 5
W8RLP9,W8RLP9_9EUTH,unreviewed,Breast cancer susceptibility 1 protein (Fragment),,1 out of 5
A0A0F6NU70,A0A0F6NU70_9EUTH,unreviewed,Breast cancer susceptibility 1 (Fragment),,1 out of 5
A0A0F6NTQ3,A0A0F6NTQ3_9EUTH,unreviewed,Breast cancer susceptibility 1 (Fragment),,1 out of 5
A0A1B3LGQ6,A0A1B3LGQ6_9EUTH,unreviewed,Breast cancer susceptibility 1 (Fragment),,1 out of 5
A0A1J0N448,A0A1J0N448_MOGWO,unreviewed,Breast cancer 2 (Fragment),,1 out of 5
K4PP45,K4PP45_9EUTH,unreviewed,Breast cancer susceptibility 1 (Fragment),,1 out of 5
K4PM38,K4PM38_9EUTH,unreviewed,Breast cancer susceptibility 1 (Fragment),,1 out of 5
A0A1W5YSM9,A0A1W5YSM9_HEMAU,unreviewed,Breast cancer type 1 susceptibility protein (Fragment),,1 out of 5
A0A2U8U5Y9,A0A2U8U5Y9_PHIOP,unreviewed,Breast cancer susceptibility protein 1 (Fragment),,1 out of 5
U6DIV8,U6DIV8_NEOVI,unreviewed,Breast cancer anti-estrogen resistance 3 (Fragment),,1 out of 5
A0A482FBU1,A0A482FBU1_9EUTH,unreviewed,Breast cancer susceptibility 1 (Fragment),,1 out of 5
C1IZL2,C1IZL2_9META,unreviewed,Breast cancer susceptibility protein (Fragment),,1 out of 5
K4PUX9,K4PUX9_9EUTH,unreviewed,Breast cancer susceptibility 1 (Fragment),,1 out of 5
A0A1J0N442,A0A1J0N442_NEUGI,unreviewed,Breast cancer 2 (Fragment),,1 out of 5
A0A088MJA2,A0A088MJA2_9EUTH,unreviewed,Breast cancer protein 1 (Fragment),,1 out of 5
W8RZR7,W8RZR7_9EUTH,unreviewed,Breast cancer susceptibility 1 protein (Fragment),,1 out of 5
A0A088MFN6,A0A088MFN6_9EUTH,unreviewed,Breast cancer protein 1 (Fragment),,1 out of 5
A0A6J2F0L5,A0A6J2F0L5_ZALCA,unreviewed,breast cancer anti-estrogen resistance protein 1 isoform X1,,1 out of 5
A0A6P9FK53,A0A6P9FK53_ZALCA,unreviewed,breast cancer metastasis-suppressor 1-like protein,,1 out of 5
A0A075W2C6,A0A075W2C6_9META,unreviewed,Breast cancer susceptibility protein (Fragment),,1 out of 5
A0A482FB14,A0A482FB14_9EUTH,unreviewed,Breast cancer susceptibility 1 (Fragment),,1 out of 5
A0A075W2B2,A0A075W2B2_9META,unreviewed,Breast cancer susceptibility protein (Fragment),,1 out of 5
B5SRH9,B5SRH9_SUNMU,unreviewed,Breast cancer susceptibility 1 (Fragment),,1 out of 5
A0A075W5S4,A0A075W5S4_9META,unreviewed,Breast cancer susceptibility protein (Fragment),,1 out of 5
D9DA21,D9DA21_CHOPC,unreviewed,Breast cancer 1 protein (Fragment),,1 out of 5
A0A3G7IR61,A0A3G7IR61_SORUN,unreviewed,Breast cancer type 2 susceptibility protein (Fragment),,1 out of 5
I2FI83,I2FI83_9CARN,unreviewed,Early-onset breast cancer type 1 susceptibility protein (Fragment),,1 out of 5
U5TWY1,U5TWY1_9EUTH,unreviewed,Breast cancer susceptibility 1 (Fragment),,1 out of 5
A0A7D5NL70,A0A7D5NL70_9META,unreviewed,Breast cancer susceptibility protein (Fragment),,1 out of 5
U6DGF3,U6DGF3_NEOVI,unreviewed,"Breast cancer 1, early onset (Fragment)",,1 out of 5
U6D688,U6D688_NEOVI,unreviewed,"Breast cancer 1, early onset (Fragment)",,1 out of 5
G3TDF5,G3TDF5_LOXAF,unreviewed,Breast cancer type 1 susceptibility protein homolog (EC 2.3.2.27),,5 out of 5
A0A3Q7PLW8,A0A3Q7PLW8_CALUR,unreviewed,breast cancer metastasis-suppressor 1 isoform X3,,1 out of 5
A0A1B3LGQ5,A0A1B3LGQ5_9EUTH,unreviewed,Breast cancer susceptibility 1 (Fragment),,1 out of 5
W8RVX4,W8RVX4_9EUTH,unreviewed,Breast cancer susceptibility 1 protein (Fragment),,1 out of 5
A0A2U4A2Y2,A0A2U4A2Y2_TURTR,unreviewed,breast cancer anti-estrogen resistance protein 3 isoform X1,,1 out of 5
A0A088MFN2,A0A088MFN2_HEMAU,unreviewed,Breast cancer protein 1 (Fragment),,1 out of 5
C1IZL3,C1IZL3_DIDAL,unreviewed,Breast cancer susceptibility protein (Fragment),,1 out of 5
A0A3G7IQH8,A0A3G7IQH8_9EUTH,unreviewed,Breast cancer type 1 susceptibility protein (Fragment),,1 out of 5
A0A2U4BP70,A0A2U4BP70_TURTR,unreviewed,Breast cancer type 1 susceptibility protein homolog (EC 2.3.2.27),,3 out of 5
A0A088MFP5,A0A088MFP5_HEMAU,unreviewed,Breast cancer protein 1 (Fragment),,1 out of 5
A0A4X1TRE2,A0A4X1TRE2_PIG,unreviewed,Breast cancer type 1 susceptibility protein homolog (EC 2.3.2.27),,3 out of 5
A0A340XNJ8,A0A340XNJ8_LIPVE,unreviewed,breast cancer anti-estrogen resistance protein 1 isoform X2,,1 out of 5
A0A340XS13,A0A340XS13_LIPVE,unreviewed,breast cancer anti-estrogen resistance protein 1 isoform X1,,1 out of 5
U5TXH3,U5TXH3_9EUTH,unreviewed,Breast cancer susceptibility 1 (Fragment),,1 out of 5
A0A3G7IQH1,A0A3G7IQH1_9EUTH,unreviewed,Breast cancer type 1 susceptibility protein (Fragment),,1 out of 5
A0A0C5PXA1,A0A0C5PXA1_9CHIR,unreviewed,Breast cancer 1 (Fragment),,1 out of 5
D9DA30,D9DA30_EPILE,unreviewed,Breast cancer 1 protein (Fragment),,1 out of 5
K4PP56,K4PP56_9EUTH,unreviewed,Breast cancer susceptibility 1 (Fragment),,1 out of 5
A0A6P6CVY8,A0A6P6CVY8_PTEVA,unreviewed,breast cancer metastasis-suppressor 1 isoform X9,,1 out of 5
A0A1B4Z9N5,A0A1B4Z9N5_TUPBE,unreviewed,"Breast cancer 1, early onset (Fragment)",,1 out of 5
K4PLV5,K4PLV5_9EUTH,unreviewed,Breast cancer susceptibility 1 (Fragment),,1 out of 5
A0A4D6Z2N6,A0A4D6Z2N6_9EUTH,unreviewed,Breast cancer 2 (Fragment),,1 out of 5
A0A4D6YVD8,A0A4D6YVD8_UROSO,unreviewed,Breast cancer 2 (Fragment),,1 out of 5
A0A1J0N4A9,A0A1J0N4A9_UROSO,unreviewed,Breast cancer 2 (Fragment),,1 out of 5
A0A6J3QMW4,A0A6J3QMW4_TURTR,unreviewed,Breast cancer type 1 susceptibility protein homolog (EC 2.3.2.27),,3 out of 5
A0A2U4BIV2,A0A2U4BIV2_TURTR,unreviewed,breast cancer metastasis-suppressor 1 isoform X3,,1 out of 5
I3L7C9,I3L7C9_PIG,unreviewed,Breast cancer type 1 susceptibility protein homolog (EC 2.3.2.27),,3 out of 5
A0A6P5DHG0,A0A6P5DHG0_BOSIN,unreviewed,Breast cancer type 1 susceptibility protein homolog (EC 2.3.2.27),,3 out of 5
A0A6P5B6V0,A0A6P5B6V0_BOSIN,unreviewed,breast cancer anti-estrogen resistance protein 3 isoform X1,,1 out of 5
A0A1J0N474,A0A1J0N474_9EUTH,unreviewed,Breast cancer 2 (Fragment),,1 out of 5
A0A142IJT6,A0A142IJT6_METNU,unreviewed,Breast cancer susceptibility protein 1 (Fragment),,1 out of 5
A0A1L5JK54,A0A1L5JK54_CANLF,unreviewed,Breast cancer type 2 susceptibility protein (Fragment),,1 out of 5
I3XJ32,I3XJ32_9EUTH,unreviewed,Breast cancer susceptibility 1 (Fragment),,1 out of 5
A0A5F4CPK1,A0A5F4CPK1_CANLF,unreviewed,Breast cancer type 1 susceptibility protein homolog (EC 2.3.2.27),,3 out of 5
A0A1L5JK66,A0A1L5JK66_CANLF,unreviewed,Breast cancer type 2 susceptibility protein (Fragment),,1 out of 5
A0A1L5JK44,A0A1L5JK44_CANLF,unreviewed,Breast cancer type 2 susceptibility protein (Fragment),,1 out of 5
A0A341B928,A0A341B928_NEOAA,unreviewed,Breast cancer type 1 susceptibility protein homolog (EC 2.3.2.27),,3 out of 5
B5SRG2,B5SRG2_CROLP,unreviewed,Breast cancer susceptibility 1 (Fragment),,1 out of 5
A0A649ZUL6,A0A649ZUL6_9EUTH,unreviewed,Breast cancer type 1 susceptibility protein (Fragment),,1 out of 5
Q1MX33,Q1MX33_CANLF,unreviewed,"Breast cancer 2, early onset (Fragment)",,1 out of 5
I3XJ12,I3XJ12_9EUTH,unreviewed,Breast cancer susceptibility 1 (Fragment),,1 out of 5
C0K297,C0K297_CANLF,unreviewed,Cyclin-dependent kinase inhibitor 1B (Cyclin-dependent kinase inhibitor p27) (p27Kip1) (Fragment),,2 out of 5
A0A3G7IQI9,A0A3G7IQI9_SORMN,unreviewed,Breast cancer type 1 susceptibility protein (Fragment),,1 out of 5
A0A649ZUH6,A0A649ZUH6_9EUTH,unreviewed,Breast cancer type 1 susceptibility protein (Fragment),,1 out of 5
K7P779,K7P779_CANLF,unreviewed,p14ARF (Fragment),,1 out of 5
A0A341AL08,A0A341AL08_NEOAA,unreviewed,breast cancer anti-estrogen resistance protein 1 isoform X4,,1 out of 5
Q1MX34,Q1MX34_CANLF,unreviewed,"Breast cancer 2, early onset (Fragment)",,1 out of 5
A0A1L5JK48,A0A1L5JK48_CANLF,unreviewed,Breast cancer type 2 susceptibility protein (Fragment),,1 out of 5
A0A1L5JK69,A0A1L5JK69_CANLF,unreviewed,Breast cancer type 2 susceptibility protein (Fragment),,1 out of 5
A0A7N5JUS6,A0A7N5JUS6_AILME,unreviewed,Breast cancer type 1 susceptibility protein homolog (EC 2.3.2.27),,2 out of 5
A0A480V4P1,A0A480V4P1_PIG,unreviewed,Breast cancer anti-estrogen resistance protein 1 isoform 6,,1 out of 5
A0A3G7IQR0,A0A3G7IQR0_SORMN,unreviewed,Breast cancer type 2 susceptibility protein (Fragment),,1 out of 5
A0A1B4Z9N1,A0A1B4Z9N1_BLAGR,unreviewed,"Breast cancer 1, early onset (Fragment)",,1 out of 5
A0A649ZUH7,A0A649ZUH7_BLAGR,unreviewed,Breast cancer type 1 susceptibility protein (Fragment),,1 out of 5
A0A1L5JK62,A0A1L5JK62_CANLF,unreviewed,Breast cancer type 2 susceptibility protein (Fragment),,1 out of 5
A0A141NXG5,A0A141NXG5_9META,unreviewed,Breast cancer activating 1 protein (Fragment),,1 out of 5
